# Time 8,KK,Kpp,PP,K,Kp,K_KK,Kp_KK,Kpp_PP,Kp_PP,KKa,PPa
0.0000000000,540,0,60,1201,0,0,0,0,0,0,0
0.5000001486,415,39,60,1030,7,112,13,0,0,0,0
1.0000002973,397,129,60,916,13,133,10,0,0,0,0
1.5000004459,384,215,57,812,15,135,21,3,0,0,0
2.0000005946,399,311,55,720,24,123,18,4,1,0,0
2.5000007432,425,404,51,650,23,104,11,9,0,0,0
3.0000008919,431,471,52,586,27,99,10,7,1,0,0
3.5000010405,427,531,53,525,25,106,7,7,0,0,0
4.0000011892,431,589,49,463,29,98,11,8,3,0,0
4.5000013377,451,651,54,423,32,84,5,5,1,0,0
5.0000014865,458,687,50,388,34,73,9,8,2,0,0
5.5000016351,464,738,50,345,32,71,5,10,0,0,0
6.0000017833,466,788,51,304,26,64,10,7,2,0,0
6.5000019324,479,827,45,272,26,50,11,13,2,0,0
7.0000020810,481,854,41,247,22,56,3,17,2,0,0
7.5000022289,475,876,45,226,19,62,3,15,0,0,0
8.0000023783,492,902,45,212,24,40,8,15,0,0,0
8.5000025269,504,924,46,205,22,35,1,13,1,0,0
9.0000026749,501,947,49,180,24,36,3,10,1,0,0
9.5000028240,498,960,47,165,21,38,4,11,2,0,0
10.0000029725,513,976,45,162,21,23,4,15,0,0,0
10.5000031210,514,995,46,148,18,21,5,13,1,0,0
11.0000032696,506,1007,51,134,17,33,1,9,0,0,0
11.5000034181,510,1016,48,123,20,26,4,12,0,0,0
12.0000035667,515,1020,49,125,20,23,2,11,0,0,0
12.5000037152,518,1023,45,119,22,18,4,10,5,0,0
13.0000038637,512,1027,45,111,20,26,2,13,2,0,0
13.5000040123,515,1033,45,110,18,19,6,14,1,0,0
14.0000041608,517,1038,43,107,16,22,1,17,0,0,0
14.5000043094,512,1042,46,100,17,27,1,13,1,0,0
15.0000044579,510,1050,43,90,14,28,2,11,6,0,0
15.5000046065,516,1051,45,96,15,22,2,15,0,0,0
16.0000047550,513,1055,46,91,14,27,0,12,2,0,0
16.5000049037,514,1057,48,92,14,24,2,12,0,0,0
17.0000050525,518,1063,39,84,11,18,4,20,1,0,0
17.5000052013,526,1076,44,83,12,14,0,15,1,0,0
18.0000053500,522,1078,42,73,14,15,3,16,2,0,0
18.5000054988,523,1079,43,74,14,16,1,14,3,0,0
19.0000056475,520,1076,39,71,13,18,2,17,4,0,0
19.5000057963,526,1084,46,76,13,14,0,12,2,0,0
20.0000059450,526,1076,45,82,14,13,1,14,1,0,0
20.5000060938,528,1075,43,85,12,10,2,15,2,0,0
21.0000062425,524,1072,45,87,11,14,2,14,1,0,0
21.5000063913,517,1067,39,80,10,22,1,18,3,0,0
22.0000065400,518,1069,42,82,10,18,4,16,2,0,0
22.5000066888,525,1075,42,83,10,13,2,18,0,0,0
23.0000068375,523,1071,40,85,8,16,1,19,1,0,0
23.5000069863,529,1071,34,85,8,10,1,22,4,0,0
24.0000071350,530,1077,49,90,13,9,1,9,2,0,0
24.5000072838,526,1066,43,92,12,12,2,15,2,0,0
25.0000074326,523,1062,40,89,13,17,0,18,2,0,0
25.5000075813,517,1058,44,94,10,22,1,15,1,0,0
26.0000077301,516,1058,39,87,11,21,3,16,5,0,0
26.5000078788,520,1058,34,88,9,19,1,24,2,0,0
27.0000080276,524,1060,39,94,10,15,1,21,0,0,0
27.5000081763,520,1053,39,100,7,18,2,18,3,0,0
28.0000083251,523,1054,40,103,7,14,3,18,2,0,0
28.5000084738,512,1053,40,93,7,27,1,19,1,0,0
29.0000086226,512,1057,37,88,5,26,2,21,2,0,0
29.5000087713,517,1062,40,85,11,23,0,17,3,0,0
30.0000089201,516,1065,42,85,9,23,1,16,2,0,0
30.5000090688,509,1062,40,78,10,28,3,18,2,0,0
31.0000092176,525,1075,43,80,14,15,0,17,0,0,0
31.5000093663,516,1075,45,76,11,24,0,14,1,0,0
32.0000095151,521,1078,40,76,8,17,2,19,1,0,0
32.5000096638,521,1076,44,81,9,14,5,15,1,0,0
33.0000098126,525,1086,44,75,9,12,3,15,1,0,0
33.5000099614,525,1080,43,76,13,15,0,15,2,0,0
34.0000101101,523,1070,37,78,13,17,0,21,2,0,0
34.5000102589,524,1073,37,74,15,16,0,23,0,0,0
35.0000104076,526,1079,40,77,11,14,0,20,0,0,0
35.5000105564,521,1077,42,76,11,18,1,17,1,0,0
36.0000107051,519,1073,40,77,10,19,2,17,3,0,0
36.5000108539,526,1073,42,86,10,14,0,17,1,0,0
37.0000110026,514,1075,43,73,10,23,3,16,1,0,0
37.5000111514,523,1085,33,63,9,13,4,27,0,0,0
38.0000113001,528,1087,38,70,10,11,1,21,1,0,0
38.5000114489,521,1090,41,62,11,19,0,17,2,0,0
39.0000115976,521,1090,42,64,10,18,1,17,1,0,0
39.5000117464,518,1080,41,69,11,21,1,18,1,0,0
40.0000118951,521,1083,42,69,12,18,1,15,3,0,0
40.5000120439,521,1082,40,70,10,15,4,15,5,0,0
41.0000121927,526,1086,36,66,11,13,1,22,2,0,0
41.5000123414,530,1092,34,64,9,7,3,22,4,0,0
42.0000124902,530,1090,40,73,8,9,1,19,1,0,0
42.5000126389,529,1091,41,75,5,10,1,18,1,0,0
43.0000127877,519,1089,43,68,6,18,3,16,1,0,0
43.5000129364,524,1098,48,70,5,15,1,12,0,0,0
44.0000130852,520,1098,46,62,7,19,1,13,1,0,0
44.5000132339,523,1088,37,65,8,17,0,23,0,0,0
