# Time 8,KK,Kpp,P,K,Kp,K_KK,Kp_KK,Kpp_P,Kp_P,KKa,Pa
0.0000000000,300,0,300,1201,0,0,0,0,0,0,0
0.5000003900,109,16,292,948,38,186,5,3,5,0,0
1.0000007801,120,45,281,892,65,176,4,11,8,0,0
1.5000011701,124,80,262,838,69,173,3,22,16,0,0
2.0000015601,125,82,260,815,89,169,6,32,8,0,0
2.5000019502,134,110,241,785,81,155,11,48,11,0,0
3.0000023403,139,130,246,767,89,148,13,47,7,0,0
3.5000027304,136,148,234,717,106,156,8,49,17,0,0
4.0000031205,145,182,236,692,108,151,4,52,12,0,0
4.5000035104,161,187,207,680,102,130,9,71,22,0,0
5.0000039003,159,206,216,664,106,131,10,79,5,0,0
5.5000042901,150,234,211,618,110,143,7,78,11,0,0
6.0000046800,152,242,203,605,109,140,8,81,16,0,0
6.5000050699,158,258,200,598,103,131,11,81,19,0,0
7.0000054598,168,260,214,594,129,123,9,73,13,0,0
7.5000058497,152,275,197,569,106,138,10,85,18,0,0
8.0000062396,154,289,199,558,107,137,9,87,14,0,0
8.5000066299,156,301,197,545,108,136,8,90,13,0,0
9.0000070202,152,296,201,544,114,135,13,90,9,0,0
9.5000074105,151,305,183,520,110,133,16,103,14,0,0
10.0000078008,160,319,194,511,125,134,6,94,12,0,0
10.5000081911,164,320,201,529,117,127,9,85,14,0,0
11.0000085814,165,313,191,530,114,119,16,96,13,0,0
11.5000089717,162,314,187,509,127,129,9,100,13,0,0
12.0000093621,164,309,190,511,135,128,8,100,10,0,0
12.5000097524,172,339,197,509,122,115,13,87,16,0,0
13.0000101427,167,335,190,498,125,119,14,97,13,0,0
13.5000105330,170,347,196,496,124,121,9,95,9,0,0
14.0000109233,157,340,183,484,117,133,10,103,14,0,0
14.5000113136,164,337,188,487,129,124,12,96,16,0,0
15.0000117039,165,340,185,497,114,121,14,100,15,0,0
15.5000120942,169,348,198,498,122,120,11,90,12,0,0
16.0000124845,168,338,172,487,116,121,11,111,17,0,0
16.5000128748,176,337,178,498,120,109,15,110,12,0,0
17.0000132651,165,357,181,481,109,126,9,105,14,0,0
17.5000136554,155,371,199,466,118,139,6,91,10,0,0
18.0000140457,169,353,178,467,128,127,4,108,14,0,0
18.5000144360,158,361,181,448,131,129,13,112,7,0,0
19.0000148263,170,370,181,462,120,118,12,104,15,0,0
19.5000152166,178,376,184,453,134,112,10,104,12,0,0
20.0000156069,166,386,185,452,114,115,19,100,15,0,0
20.5000159972,182,381,200,470,132,106,12,89,11,0,0
21.0000163875,182,380,190,460,133,109,9,95,15,0,0
21.5000167778,169,393,187,440,124,120,11,100,13,0,0
22.0000171681,174,375,176,442,134,115,11,117,7,0,0
22.5000175584,182,395,178,447,119,102,16,105,17,0,0
23.0000179487,173,394,188,444,124,119,8,98,14,0,0
23.5000183390,165,385,201,463,119,121,14,90,9,0,0
24.0000187293,176,369,170,463,115,116,8,120,10,0,0
24.5000191196,168,381,183,456,115,123,9,104,13,0,0
25.0000195099,161,375,181,460,108,129,10,105,14,0,0
25.5000199002,174,375,192,475,117,118,8,100,8,0,0
26.0000202906,178,376,185,466,122,114,8,99,16,0,0
26.5000206809,167,371,178,450,125,128,5,113,9,0,0
27.0000210712,166,366,188,459,130,121,13,104,8,0,0
27.5000214615,189,397,194,469,118,101,10,98,8,0,0
28.0000218518,186,362,178,458,145,109,5,113,9,0,0
28.5000222421,168,372,178,439,136,120,12,109,13,0,0
29.0000226324,184,390,189,454,130,109,7,92,19,0,0
29.5000230227,174,377,185,461,122,115,11,106,9,0,0
30.0000234130,183,389,189,470,114,110,7,100,11,0,0
30.5000238033,170,388,182,448,117,122,8,111,7,0,0
31.0000241936,171,416,193,445,104,118,11,98,9,0,0
31.5000245839,177,403,161,431,105,117,6,129,10,0,0
32.0000249742,180,418,191,435,119,108,12,99,10,0,0
32.5000253629,190,453,181,414,105,102,8,110,9,0,0
33.0000257515,177,431,168,390,125,115,8,122,10,0,0
33.5000261402,179,424,183,408,131,105,16,103,14,0,0
34.0000265289,181,412,170,410,130,109,10,116,14,0,0
34.5000269175,176,429,193,428,113,115,9,95,12,0,0
35.0000273062,171,422,186,431,105,114,15,104,10,0,0
35.5000276949,179,405,178,452,101,112,9,109,13,0,0
36.0000280835,169,405,181,428,118,120,11,110,9,0,0
36.5000284722,166,415,181,428,105,125,9,105,14,0,0
37.0000288609,191,419,185,441,117,101,8,105,10,0,0
37.5000292495,171,407,183,421,127,116,13,106,11,0,0
38.0000296382,159,407,165,414,104,126,15,123,12,0,0
38.5000300269,173,427,186,421,112,105,22,109,5,0,0
39.0000304155,174,428,178,423,102,113,13,111,11,0,0
39.5000308042,173,421,179,428,104,117,10,116,5,0,0
40.0000311929,181,412,183,420,133,108,11,109,8,0,0
40.5000315815,186,416,189,426,134,104,10,101,10,0,0
41.0000319702,165,415,177,407,121,121,14,113,10,0,0
41.5000323589,169,422,176,418,106,118,13,110,14,0,0
42.0000327475,179,418,186,439,109,112,9,106,8,0,0
42.5000331362,178,423,193,423,126,113,9,100,7,0,0
43.0000335249,174,402,187,439,121,116,10,100,13,0,0
43.5000339135,177,419,191,441,109,116,7,101,8,0,0
44.0000343022,163,413,189,410,130,124,13,100,11,0,0
44.5000346909,176,408,187,433,123,111,13,101,12,0,0
45.0000350795,177,413,190,434,121,110,13,96,14,0,0
45.5000354682,167,416,197,430,119,128,5,98,5,0,0
46.0000358569,184,424,193,429,125,107,9,96,11,0,0
46.5000362455,170,412,162,408,113,117,13,124,14,0,0
47.0000366342,167,403,172,419,118,120,13,120,8,0,0
47.5000370229,172,391,176,423,135,118,10,113,11,0,0
48.0000374115,161,400,178,419,121,129,10,111,11,0,0
48.5000378002,182,404,163,425,117,110,8,121,16,0,0
49.0000381889,182,430,192,439,106,100,18,100,8,0,0
49.5000385775,173,422,178,413,117,114,13,117,5,0,0
50.0000389662,187,447,172,418,95,107,6,112,16,0,0
50.5000393549,171,445,190,407,110,125,4,104,6,0,0
51.0000397436,189,434,171,397,130,97,14,118,11,0,0
51.5000401322,184,444,174,390,125,106,10,116,10,0,0
52.0000405209,186,448,171,412,98,107,7,122,7,0,0
52.5000409096,172,436,173,402,108,119,9,113,14,0,0
53.0000412982,173,427,172,419,100,110,17,119,9,0,0
53.5000416869,182,431,171,422,101,109,9,120,9,0,0
54.0000420756,175,408,164,430,102,108,17,125,11,0,0
54.5000424642,177,434,176,409,111,113,10,113,11,0,0
55.0000428529,190,434,186,423,120,100,10,105,9,0,0
55.5000432416,196,423,178,427,125,99,5,111,11,0,0
56.0000436302,164,418,177,402,122,117,19,111,12,0,0
56.5000440189,184,422,170,405,128,110,6,117,13,0,0
57.0000444076,174,436,191,409,121,114,12,95,14,0,0
57.5000447962,176,425,180,415,117,116,8,102,18,0,0
58.0000451849,180,412,186,425,130,113,7,106,8,0,0
58.5000455736,183,406,179,443,114,109,8,109,12,0,0
