# Time 8,A,B,C
0.0000000000,0,64000,64000
0.0000002305,16,63984,63984
0.0000004616,34,63966,63966
0.0000006932,40,63960,63960
0.0000009253,47,63953,63953
0.0000011580,55,63945,63945
0.0000013912,59,63941,63941
0.0000016249,65,63935,63935
0.0000018592,68,63932,63932
0.0000020940,74,63926,63926
0.0000023293,78,63922,63922
0.0000025652,81,63919,63919
0.0000028017,89,63911,63911
0.0000030386,100,63900,63900
0.0000032762,102,63898,63898
0.0000035143,105,63895,63895
0.0000037529,106,63894,63894
0.0000039921,110,63890,63890
0.0000042318,117,63883,63883
0.0000044721,120,63880,63880
0.0000047129,127,63873,63873
0.0000049543,129,63871,63871
0.0000051962,136,63864,63864
0.0000054387,138,63862,63862
0.0000056818,145,63855,63855
0.0000059254,152,63848,63848
0.0000061696,156,63844,63844
0.0000064144,161,63839,63839
0.0000066597,166,63834,63834
0.0000069056,167,63833,63833
0.0000071520,171,63829,63829
0.0000073990,181,63819,63819
0.0000076466,185,63815,63815
0.0000078948,188,63812,63812
0.0000081435,195,63805,63805
0.0000083928,200,63800,63800
0.0000086427,204,63796,63796
0.0000088931,213,63787,63787
0.0000091442,220,63780,63780
0.0000093958,227,63773,63773
0.0000096480,229,63771,63771
0.0000099007,234,63766,63766
0.0000101541,240,63760,63760
0.0000104080,247,63753,63753
0.0000106625,252,63748,63748
0.0000109176,257,63743,63743
0.0000111733,266,63734,63734
0.0000114296,271,63729,63729
0.0000116865,272,63728,63728
0.0000119440,279,63721,63721
0.0000122020,283,63717,63717
0.0000124607,288,63712,63712
0.0000127199,290,63710,63710
0.0000129798,292,63708,63708
0.0000132402,298,63702,63702
0.0000135013,302,63698,63698
0.0000137629,307,63693,63693
0.0000140252,311,63689,63689
0.0000142880,316,63684,63684
0.0000145515,318,63682,63682
0.0000148156,323,63677,63677
0.0000150802,328,63672,63672
0.0000153455,330,63670,63670
0.0000156114,335,63665,63665
0.0000158780,338,63662,63662
0.0000161451,343,63657,63657
0.0000164128,346,63654,63654
0.0000166812,353,63647,63647
0.0000169502,358,63642,63642
0.0000172198,364,63636,63636
0.0000174900,369,63631,63631
0.0000177609,371,63629,63629
0.0000180323,375,63625,63625
0.0000183044,377,63623,63623
0.0000185771,381,63619,63619
0.0000188505,388,63612,63612
0.0000191245,394,63606,63606
0.0000193991,403,63597,63597
0.0000196743,410,63590,63590
0.0000199502,416,63584,63584
0.0000202267,418,63582,63582
0.0000205039,420,63580,63580
0.0000207817,428,63572,63572
0.0000210601,430,63570,63570
0.0000213392,434,63566,63566
0.0000216189,438,63562,63562
0.0000218993,444,63556,63556
0.0000221803,448,63552,63552
0.0000224620,452,63548,63548
0.0000227443,460,63540,63540
0.0000230272,464,63536,63536
0.0000233108,471,63529,63529
0.0000235951,473,63527,63527
0.0000238800,476,63524,63524
0.0000241656,481,63519,63519
0.0000244519,485,63515,63515
0.0000247387,487,63513,63513
0.0000250263,490,63510,63510
0.0000253145,495,63505,63505
0.0000256034,498,63502,63502
0.0000258930,504,63496,63496
0.0000261832,505,63495,63495
0.0000264741,508,63492,63492
0.0000267656,512,63488,63488
0.0000270579,514,63486,63486
0.0000273508,516,63484,63484
0.0000276444,521,63479,63479
0.0000279386,529,63471,63471
0.0000282335,532,63468,63468
0.0000285292,533,63467,63467
0.0000288254,535,63465,63465
0.0000291224,541,63459,63459
0.0000294201,547,63453,63453
0.0000297184,551,63449,63449
0.0000300175,554,63446,63446
0.0000303172,559,63441,63441
0.0000306176,571,63429,63429
0.0000309187,576,63424,63424
0.0000312205,578,63422,63422
0.0000315230,578,63422,63422
0.0000318262,583,63417,63417
0.0000321301,586,63414,63414
0.0000324347,593,63407,63407
0.0000327400,598,63402,63402
0.0000330460,601,63399,63399
0.0000333527,609,63391,63391
0.0000336601,612,63388,63388
0.0000339682,617,63383,63383
0.0000342771,619,63381,63381
0.0000345866,624,63376,63376
0.0000348969,629,63371,63371
0.0000352079,634,63366,63366
0.0000355195,638,63362,63362
0.0000358320,648,63352,63352
0.0000361451,655,63345,63345
0.0000364589,661,63339,63339
0.0000367735,662,63338,63338
0.0000370888,669,63331,63331
0.0000374048,674,63326,63326
0.0000377216,681,63319,63319
0.0000380391,685,63315,63315
0.0000383573,689,63311,63311
0.0000386762,694,63306,63306
0.0000389959,699,63301,63301
0.0000393163,705,63295,63295
0.0000396375,707,63293,63293
0.0000399594,711,63289,63289
0.0000402821,717,63283,63283
0.0000406054,727,63273,63273
0.0000409296,727,63273,63273
0.0000412545,731,63269,63269
0.0000415801,737,63263,63263
0.0000419065,742,63258,63258
0.0000422336,744,63256,63256
0.0000425615,749,63251,63251
0.0000428901,756,63244,63244
0.0000432195,760,63240,63240
0.0000435497,765,63235,63235
0.0000438806,770,63230,63230
0.0000442123,774,63226,63226
0.0000445447,776,63224,63224
0.0000448779,780,63220,63220
0.0000452119,783,63217,63217
0.0000455467,790,63210,63210
0.0000458822,793,63207,63207
0.0000462185,800,63200,63200
0.0000465556,805,63195,63195
0.0000468934,808,63192,63192
0.0000472320,813,63187,63187
0.0000475714,816,63184,63184
0.0000479116,817,63183,63183
0.0000482526,825,63175,63175
0.0000485944,829,63171,63171
0.0000489369,838,63162,63162
0.0000492803,844,63156,63156
0.0000496244,850,63150,63150
0.0000499693,852,63148,63148
0.0000503151,855,63145,63145
0.0000506616,858,63142,63142
0.0000510089,861,63139,63139
0.0000513570,866,63134,63134
0.0000517059,870,63130,63130
0.0000520556,872,63128,63128
0.0000524062,872,63128,63128
0.0000527575,879,63121,63121
0.0000531097,882,63118,63118
0.0000534626,893,63107,63107
0.0000538164,901,63099,63099
0.0000541710,906,63094,63094
0.0000545264,910,63090,63090
0.0000548826,923,63077,63077
0.0000552396,927,63073,63073
0.0000555975,932,63068,63068
0.0000559562,937,63063,63063
0.0000563157,940,63060,63060
0.0000566761,947,63053,63053
0.0000570373,952,63048,63048
0.0000573993,957,63043,63043
0.0000577621,961,63039,63039
0.0000581258,972,63028,63028
0.0000584903,978,63022,63022
0.0000588557,981,63019,63019
0.0000592219,983,63017,63017
0.0000595889,987,63013,63013
0.0000599568,995,63005,63005
0.0000603256,999,63001,63001
0.0000606952,1005,62995,62995
0.0000610656,1008,62992,62992
0.0000614369,1016,62984,62984
0.0000618091,1018,62982,62982
0.0000621821,1022,62978,62978
0.0000625560,1030,62970,62970
0.0000629307,1033,62967,62967
0.0000633063,1035,62965,62965
0.0000636828,1041,62959,62959
0.0000640601,1044,62956,62956
0.0000644383,1051,62949,62949
0.0000648174,1054,62946,62946
0.0000651973,1061,62939,62939
0.0000655781,1064,62936,62936
0.0000659598,1068,62932,62932
0.0000663424,1076,62924,62924
0.0000667259,1080,62920,62920
0.0000671102,1085,62915,62915
0.0000674955,1091,62909,62909
0.0000678816,1099,62901,62901
0.0000682686,1100,62900,62900
0.0000686565,1109,62891,62891
0.0000690453,1116,62884,62884
0.0000694350,1121,62879,62879
0.0000698256,1123,62877,62877
0.0000702171,1133,62867,62867
0.0000706095,1138,62862,62862
0.0000710028,1144,62856,62856
0.0000713970,1148,62852,62852
0.0000717921,1153,62847,62847
0.0000721881,1155,62845,62845
0.0000725851,1161,62839,62839
0.0000729829,1166,62834,62834
0.0000733817,1170,62830,62830
0.0000737814,1173,62827,62827
0.0000741820,1178,62822,62822
0.0000745835,1184,62816,62816
0.0000749860,1188,62812,62812
0.0000753894,1193,62807,62807
0.0000757937,1194,62806,62806
0.0000761990,1199,62801,62801
0.0000766051,1207,62793,62793
0.0000770123,1216,62784,62784
0.0000774203,1223,62777,62777
0.0000778293,1225,62775,62775
0.0000782393,1228,62772,62772
0.0000786502,1236,62764,62764
0.0000790620,1242,62758,62758
0.0000794748,1250,62750,62750
0.0000798885,1259,62741,62741
0.0000803032,1263,62737,62737
0.0000807188,1264,62736,62736
0.0000811354,1267,62733,62733
0.0000815530,1275,62725,62725
0.0000819715,1276,62724,62724
0.0000823910,1287,62713,62713
0.0000828115,1288,62712,62712
0.0000832329,1295,62705,62705
0.0000836553,1296,62704,62704
0.0000840787,1304,62696,62696
0.0000845030,1309,62691,62691
0.0000849284,1312,62688,62688
0.0000853547,1319,62681,62681
0.0000857820,1326,62674,62674
0.0000862102,1335,62665,62665
0.0000866395,1338,62662,62662
0.0000870698,1345,62655,62655
0.0000875010,1346,62654,62654
0.0000879332,1353,62647,62647
0.0000883665,1357,62643,62643
0.0000888007,1360,62640,62640
0.0000892359,1365,62635,62635
0.0000896722,1368,62632,62632
0.0000901094,1375,62625,62625
0.0000905477,1382,62618,62618
0.0000909869,1388,62612,62612
0.0000914272,1394,62606,62606
0.0000918685,1399,62601,62601
0.0000923108,1405,62595,62595
0.0000927541,1414,62586,62586
0.0000931985,1422,62578,62578
0.0000936439,1427,62573,62573
0.0000940903,1434,62566,62566
0.0000945377,1443,62557,62557
0.0000949862,1448,62552,62552
0.0000954357,1452,62548,62548
0.0000958862,1455,62545,62545
0.0000963378,1473,62527,62527
0.0000967904,1477,62523,62523
0.0000972440,1483,62517,62517
0.0000976987,1487,62513,62513
0.0000981545,1491,62509,62509
0.0000986113,1497,62503,62503
0.0000990691,1507,62493,62493
0.0000995280,1512,62488,62488
0.0000999880,1520,62480,62480
0.0001004490,1526,62474,62474
0.0001009111,1530,62470,62470
0.0001013743,1534,62466,62466
0.0001018385,1540,62460,62460
0.0001023038,1546,62454,62454
0.0001027702,1555,62445,62445
0.0001032376,1562,62438,62438
0.0001037061,1565,62435,62435
0.0001041757,1570,62430,62430
0.0001046464,1574,62426,62426
0.0001051181,1577,62423,62423
0.0001055910,1585,62415,62415
0.0001060649,1594,62406,62406
0.0001065400,1602,62398,62398
0.0001070161,1610,62390,62390
0.0001074933,1616,62384,62384
0.0001079716,1622,62378,62378
0.0001084511,1626,62374,62374
0.0001089316,1632,62368,62368
0.0001094132,1638,62362,62362
0.0001098960,1642,62358,62358
0.0001103799,1646,62354,62354
0.0001108649,1648,62352,62352
0.0001113510,1660,62340,62340
0.0001118382,1667,62333,62333
0.0001123265,1671,62329,62329
0.0001128160,1678,62322,62322
0.0001133066,1688,62312,62312
0.0001137983,1696,62304,62304
0.0001142912,1704,62296,62296
0.0001147852,1709,62291,62291
0.0001152803,1712,62288,62288
0.0001157766,1722,62278,62278
0.0001162740,1729,62271,62271
0.0001167726,1734,62266,62266
0.0001172723,1743,62257,62257
0.0001177732,1748,62252,62252
0.0001182752,1760,62240,62240
0.0001187784,1764,62236,62236
0.0001192827,1773,62227,62227
0.0001197882,1777,62223,62223
0.0001202949,1786,62214,62214
0.0001208027,1789,62211,62211
0.0001213117,1798,62202,62202
0.0001218219,1802,62198,62198
0.0001223333,1814,62186,62186
0.0001228458,1820,62180,62180
0.0001233596,1830,62170,62170
0.0001238745,1839,62161,62161
0.0001243905,1845,62155,62155
0.0001249078,1849,62151,62151
0.0001254263,1858,62142,62142
0.0001259460,1867,62133,62133
0.0001264668,1868,62132,62132
0.0001269889,1877,62123,62123
0.0001275122,1884,62116,62116
0.0001280366,1892,62108,62108
0.0001285623,1908,62092,62092
